2025-08-08 17:06:38 | INFO     | EtiquetadorZPL | log_message:486 | ⚠️ No se pudo cargar la configuración
2025-08-08 17:08:29 | INFO     | EtiquetadorZPL | __init__:45 | === Aplicación iniciada ===
2025-08-08 17:08:30 | INFO     | EtiquetadorZPL | log_message:486 | ✅ Configuración cargada
2025-08-08 17:08:41 | INFO     | EtiquetadorZPL | start_monitoring:329 | Iniciando validación de configuración...
2025-08-08 17:08:41 | INFO     | EtiquetadorZPL | validar_configuracion_completa:20 | Validando carpeta 1...
2025-08-08 17:08:41 | DEBUG    | EtiquetadorZPL | _validar_ruta:64 | Carpeta 1: Ruta válida - C:/EtiquetasFlex
2025-08-08 17:08:41 | DEBUG    | EtiquetadorZPL | _validar_impresora:91 | Carpeta 1: Impresora válida - Godex GE300
2025-08-08 17:08:41 | DEBUG    | EtiquetadorZPL | _validar_historial:105 | Carpeta 1: Carpeta de historial creada/verificada - C:/EtiquetasHistorial
2025-08-08 17:08:41 | INFO     | EtiquetadorZPL | start_monitoring:350 | Validación exitosa. Iniciando monitoreo...
2025-08-08 17:08:41 | INFO     | EtiquetadorZPL | log_message:486 | 📁 Monitoreando: C:/EtiquetasFlex -> Godex GE300
2025-08-08 17:08:41 | INFO     | EtiquetadorZPL | log_message:486 | 📡 Monitoreo iniciado en 1 carpetas
2025-08-08 17:08:57 | INFO     | EtiquetadorZPL | log_message:486 | ⏹️ Monitoreo detenido en todas las carpetas
2025-08-08 17:10:33 | INFO     | EtiquetadorZPL | __init__:45 | === Aplicación iniciada ===
2025-08-08 17:10:34 | INFO     | EtiquetadorZPL | log_message:486 | ✅ Configuración cargada
2025-08-08 17:11:35 | INFO     | EtiquetadorZPL | start_monitoring:329 | Iniciando validación de configuración...
2025-08-08 17:11:35 | INFO     | EtiquetadorZPL | validar_configuracion_completa:20 | Validando carpeta 1...
2025-08-08 17:11:35 | DEBUG    | EtiquetadorZPL | _validar_ruta:64 | Carpeta 1: Ruta válida - C:/EtiquetasFlex
2025-08-08 17:11:35 | DEBUG    | EtiquetadorZPL | _validar_impresora:91 | Carpeta 1: Impresora válida - Godex GE300
2025-08-08 17:11:35 | DEBUG    | EtiquetadorZPL | _validar_historial:105 | Carpeta 1: Carpeta de historial creada/verificada - C:/EtiquetasHistorial
2025-08-08 17:11:35 | INFO     | EtiquetadorZPL | validar_configuracion_completa:20 | Validando carpeta 2...
2025-08-08 17:11:35 | DEBUG    | EtiquetadorZPL | _validar_ruta:64 | Carpeta 2: Ruta válida - C:/Users/Usuario/Desktop/Facturas
2025-08-08 17:11:35 | DEBUG    | EtiquetadorZPL | _validar_impresora:91 | Carpeta 2: Impresora válida - WF-C5790 Series(Network)
2025-08-08 17:11:35 | DEBUG    | EtiquetadorZPL | _validar_historial:105 | Carpeta 2: Carpeta de historial creada/verificada - C:/Users/Usuario/Desktop/Facturas/historial
2025-08-08 17:11:35 | INFO     | EtiquetadorZPL | start_monitoring:350 | Validación exitosa. Iniciando monitoreo...
2025-08-08 17:11:36 | INFO     | EtiquetadorZPL | log_message:486 | 📁 Monitoreando: C:/EtiquetasFlex -> Godex GE300
2025-08-08 17:11:36 | INFO     | EtiquetadorZPL | log_message:486 | 📁 Monitoreando: C:/Users/Usuario/Desktop/Facturas -> WF-C5790 Series(Network)
2025-08-08 17:11:36 | INFO     | EtiquetadorZPL | log_message:486 | 📡 Monitoreo iniciado en 2 carpetas
2025-08-08 17:11:56 | INFO     | EtiquetadorZPL | log_message:486 | ⏹️ Monitoreo detenido en todas las carpetas
2025-08-08 17:17:38 | INFO     | EtiquetadorZPL | __init__:45 | === Aplicación iniciada ===
2025-08-08 17:17:40 | INFO     | EtiquetadorZPL | log_message:487 | ✅ Configuración cargada
2025-08-08 17:18:22 | INFO     | EtiquetadorZPL | log_message:487 | 💾 Configuración guardada
2025-08-08 17:18:24 | INFO     | EtiquetadorZPL | start_monitoring:330 | Iniciando validación de configuración...
2025-08-08 17:18:24 | INFO     | EtiquetadorZPL | validar_configuracion_completa:20 | Validando carpeta 1...
2025-08-08 17:18:24 | DEBUG    | EtiquetadorZPL | _validar_ruta:64 | Carpeta 1: Ruta válida - C:/EtiquetasFlex
2025-08-08 17:18:24 | DEBUG    | EtiquetadorZPL | _validar_impresora:91 | Carpeta 1: Impresora válida - Godex GE300
2025-08-08 17:18:24 | DEBUG    | EtiquetadorZPL | _validar_historial:105 | Carpeta 1: Carpeta de historial creada/verificada - C:/EtiquetasHistorial
2025-08-08 17:18:24 | INFO     | EtiquetadorZPL | validar_configuracion_completa:20 | Validando carpeta 2...
